Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
DJI,0.0,0.0,0.0,0.0,0.0,3.155555567,4.377777767,5.6,6.333333333,6.333333333,6.333333333,6.333333333
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,9.15,10.0,10.0
DNK,0.0,0.0,15.23333333,20.08333333,23.41666667,22.30555556,19.82265802,15.29166667,10.89,9.256666667,12.14166667,12.35166667
DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73191489,26.14638298,33.72238298,38.6293617
DZA,0.0,0.0,19.55555556,24.0,28.44444444,34.66666667,41.55927273,46.87967677,53.72094276,61.57158249,69.33333333,87.12888889
ECU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166839964,2.24136528,2.24136528,2.24136528
EGY,0.0,0.0,0.0,4896.666667,5088.333333,5280.0,5469.166667,6209.294286,6931.0,7362.75,6370.0,6420.0
ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.775,20.78571429,20.78571429,20.78571429
ESP,0.0,0.0,0.0,33.82733813,37.81654676,39.6057554,32.74880096,31.02517986,31.9307554,31.45323741,33.04856115,28.07913669
EST,0.0,0.0,0.0,0.0,0.0,0.0,20.69236821,10.80903675,11.12037766,14.42879622,12.83241542,14.03619197
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555737705,6.844254844,7.845089419,8.645983607
FIN,0.0,0.0,3.177570093,3.373831776,3.570093458,3.112897196,2.271588785,2.296121495,3.879692924,6.13271028,6.13271028,6.13271028
FJI,0.0,0.0,0.0,0.0,0.0,0.105078809,0.174727199,0.244375589,0.290647986,0.29737303,0.29737303,0.29737303
FRA,0.0,0.0,0.0,0.0,16.2658,18.0011,19.6095,15.1655,16.177,15.496,14.0315,13.218
GAB,0.0,0.0,0.0,0.0,0.0,0.036585366,0.050727017,0.064868668,0.077939024,0.084817073,0.084817073,0.084817073
GBR,0.0,0.0,0.0,0.0,8.750344828,8.074482759,8.308965517,8.44660815,8.71830094,5.871034483,5.528965517,5.806206897
GEO,0.0,0.0,0.0,0.0,0.0,0.0,5.431802282,4.096461953,3.224703251,3.130340042,3.136074316,3.136074316
GHA,0.0,0.0,1.140154016,1.515291529,1.890429043,2.265566557,2.64070407,3.015841584,3.419966997,3.867574257,4.341584158,4.780858086
GIN,0.0,0.0,0.0,0.0,0.0,0.327433628,0.299863853,0.272294078,0.248340708,0.253982301,0.253982301,0.253982301
GMB,0.0,0.0,0.0,0.0,0.666666667,1.330882353,1.99509804,2.659313727,3.164666667,3.386666667,3.386666667,3.386666667
GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.30175,1.09375,1.09375,1.09375,1.09375,1.09375
GNQ,0.0,0.0,0.0,0.0,0.0,0.038461538,0.049408284,0.06035503,0.070615385,0.076153846,0.076153846,0.076153846
GRC,0.0,0.0,7.349517241,7.892206897,8.986896552,11.09034483,13.85862069,14.97413793,15.92413793,16.58568966,17.12931034,19.37931034
GTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387122798,3.044047619,3.044047619,3.044047619
GUY,0.0,0.0,0.0,0.0,0.0,0.0,0.605809129,0.652489627,0.667751037,0.628962656,0.599460581,0.599460581
HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772556806,1.772556806,1.772556806
HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521220159,1.726714665,1.75331565,1.784880637
HTI,0.0,0.0,0.0,0.0,0.0,0.0,8.117409685,10.05556166,10.50960799,10.96365433,11.14527287,11.14527287
HUN,0.0,0.0,56.24266667,71.69133333,90.38666667,109.5869048,118.95,99.48055556,96.0,91.44444445,84.18333333,74.98333333
IDN,0.0,0.0,0.0,0.0,0.0,0.0,4.067114413,5.031510154,6.287301882,7.98004891,9.672795939,11.02699356
IND,0.0,0.0,0.0,27.89349931,31.92876902,34.44121715,36.10511065,39.92251037,44.29595297,49.5034184,44.77869986,44.77869986
IRL,0.0,0.0,0.0,0.0,2.214577259,2.291836735,2.36909621,2.190166976,1.840445269,1.489795918,1.544897959,1.544897959
IRN,0.0,0.0,0.0,37.18426286,42.5971898,48.00985733,53.42031993,66.30116732,70.66031128,72.33463035,72.33463035,72.33463035
IRQ,0.0,0.0,0.0,115.4943182,116.1505682,118.5568182,134.7727273,167.70625,176.9251623,150.540625,124.1418831,109.4829545
ISL,0.0,0.0,0.0,0.0,0.064470588,0.078823529,0.098235294,0.096764706,0.097058824,0.125926471,0.172941176,0.170588235
ISR,0.0,0.0,208.8266667,215.8933333,227.9733333,226.1333333,206.88,208.64,205.8,183.9333333,168.32,159.7333333
ITA,0.0,0.0,23.38177691,24.84772603,25.09877104,23.50280235,23.08191433,24.45227745,22.86815114,18.33222761,18.62162698,18.65517808
JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667942963,11.03776076,12.40757856,13.77739636,12.47689464
JOR,0.0,0.0,0.0,71.05571848,83.37243402,106.1876833,137.2643485,120.9714076,108.3085463,136.6568915,124.4868035,132.4926686
JPN,0.0,0.0,0.0,0.0,20.64170543,20.96689922,21.25581395,20.74186047,19.63953488,19.24418605,18.88883721,18.88883721
